seed,C_end_rich,C_end_poor,diff_rich_minus_poor
11,23.37486868237135,-19.289304473946906,42.664173156318256
12,23.37486868237135,-19.289304473946906,42.664173156318256
13,23.37486868237135,-19.289304473946906,42.664173156318256
14,23.37486868237135,-19.289304473946906,42.664173156318256
15,23.37486868237135,-19.289304473946906,42.664173156318256
16,23.37486868237135,-19.289304473946906,42.664173156318256
17,23.37486868237135,-19.289304473946906,42.664173156318256
18,23.37486868237135,-19.289304473946906,42.664173156318256
19,23.37486868237135,-19.289304473946906,42.664173156318256
20,23.37486868237135,-19.289304473946906,42.664173156318256
21,23.37486868237135,-19.289304473946906,42.664173156318256
22,23.37486868237135,-19.289304473946906,42.664173156318256
23,23.37486868237135,-19.289304473946906,42.664173156318256
24,23.37486868237135,-19.289304473946906,42.664173156318256
25,23.37486868237135,-19.289304473946906,42.664173156318256
26,23.37486868237135,-19.289304473946906,42.664173156318256
27,23.37486868237135,-19.289304473946906,42.664173156318256
28,23.37486868237135,-19.289304473946906,42.664173156318256
29,23.37486868237135,-19.289304473946906,42.664173156318256
30,23.37486868237135,-19.289304473946906,42.664173156318256
