t,sample_id,O,R,I,demand
0,SRR923920,118.99470653567519,0.0,-8.85533999679012,0.0
1,SRR923921,33.25797495430459,-85.7367315813706,48.343334790466585,0.08333333333333333
2,SRR923923,-4.277869575474668,-37.53584452977926,-80.82242214816966,0.16666666666666666
3,SRR923924,66.77933600273849,71.05720557821316,-63.87310299249943,0.25
4,SRR923925,-0.13272576451578644,-66.91206176725427,-37.49147617722117,0.3333333333333333
5,SRR923927,72.20075938091813,72.33348514543391,32.0791212270235,0.41666666666666663
6,SRR923926,7.673890119577756,-64.52686926134038,-8.374727005777162,0.5
7,SRR923929,-35.13463774282853,-42.80852786240629,39.94931155698807,0.5833333333333333
8,SRR923928,16.57277311391307,51.7074108567416,94.89361539603206,0.6666666666666666
9,SRR923930,-68.67374881719421,-85.24652193110728,-66.01427329879671,0.75
10,SRR923931,-50.559714744598104,18.114034072596105,17.022111402661068,0.8333333333333333
11,SRR923933,-87.77955567434631,-37.21984092974821,23.798477563586918,0.9166666666666666
12,SRR923932,-68.92118778816963,18.85836788617668,9.345369682496038,1.0
