segment,allele,count,freq
ha,HuH3N2,76,1.0
m,HuH3N2,43,0.5657894736842105
m,pdm,30,0.39473684210526316
m,trig,2,0.02631578947368421
m,nan,1,0.013157894736842105
na,HuH3N2,76,1.0
np,HuH3N2,41,0.5394736842105263
np,pdm,26,0.34210526315789475
np,trig,5,0.06578947368421052
np,nan,4,0.05263157894736842
ns,HuH3N2,42,0.5526315789473685
ns,pdm,26,0.34210526315789475
ns,trig,5,0.06578947368421052
ns,nan,3,0.039473684210526314
pa,HuH3N2,39,0.5131578947368421
pa,pdm,29,0.3815789473684211
pa,nan,6,0.07894736842105263
pa,trig,2,0.02631578947368421
pb1,HuH3N2,40,0.5263157894736842
pb1,pdm,26,0.34210526315789475
pb1,trig,5,0.06578947368421052
pb1,nan,5,0.06578947368421052
pb2,HuH3N2,40,0.5263157894736842
pb2,pdm,29,0.3815789473684211
pb2,nan,5,0.06578947368421052
pb2,trig,2,0.02631578947368421
