geo,year,O,R,I,Cap,D_E,Sigma,S,V,C,O_raw,R_raw,I_raw,D_raw,S2_training_pct_raw
SE,2011,0.569429,0.760186,0.277138,0.119965,0.808548,0.688582,1.0,0.01,0.05822,92.3,224570.0,0.2634803921568627,4754.38,0.2
SE,2012,0.461429,0.74617,0.370608,0.127602,0.870902,0.7433,1.0,0.01,0.06644,90.2,223943.0,0.2734703988109982,4825.92,0.2
SE,2013,0.240286,0.67079,0.428722,0.069102,0.818231,0.749129,1.0,0.01,0.074661,85.9,220571.0,0.2796814671814672,4765.49,0.2
SE,2014,0.168286,0.559396,0.570997,0.053753,0.374358,0.320606,1.0,0.01,0.082881,84.5,215588.0,0.2948876265744629,4256.23,0.2
SE,2015,0.312286,0.72766,0.756884,0.171993,0.668646,0.496654,1.0,0.01,0.091101,87.3,223115.0,0.3147549141577507,4593.87,0.2
SE,2016,0.404857,0.743353,0.8652,0.260384,0.95,0.689616,1.0,0.01,0.099321,89.1,223817.0,0.3263315828957239,4916.67,0.2
SE,2017,0.600286,0.653733,0.780836,0.306421,0.767303,0.460882,1.0,0.07598,0.161778,92.9,219808.0,0.317314837750805,4707.06,0.2
SE,2018,0.723714,0.505477,0.825028,0.301812,0.47624,0.174428,1.0,0.214599,0.338182,95.3,213176.0,0.3220380302291565,4373.12,0.2
SE,2019,0.836857,0.551215,0.95,0.438223,0.676099,0.237875,1.0,0.319286,0.600642,97.5,215222.0,0.335394862036156,4602.42,0.2
SE,2020,0.636286,0.95,0.886419,0.535815,0.757445,0.221631,1.0,0.425,0.95,93.6,233061.0,0.3285994123408423,4695.75,0.2
