t,O,R,I,demand,S
121,0.362903,0.897907,0.606632,0.102093,0.863825
122,0.369109,0.873931,0.584009,0.126069,0.87935
123,0.347343,0.929227,0.522243,0.070773,0.855484
124,0.308701,0.952606,0.507365,0.047394,0.832
125,0.288814,1.0,0.435271,0.0,0.808889
126,0.358426,0.923509,0.462241,0.076491,0.824357
127,0.514934,0.77334,0.542112,0.22666,0.839583
128,0.632936,0.751966,0.541017,0.248034,0.854574
129,0.655878,0.774553,0.484289,0.225447,0.869333
130,0.949548,0.749651,0.464386,0.250349,0.883868
131,1.0,0.813775,0.646648,0.186225,0.898182
132,0.954053,0.708005,0.646339,0.291995,0.875789
133,0.87289,0.642789,0.57981,0.357211,0.853731
134,0.831332,0.617893,1.0,0.382107,0.832
135,0.834665,0.61303,0.0,0.38697,0.846275
136,0.844233,0.739702,0.0,0.260298,0.860341
137,0.859443,1.0,0.085417,0.0,0.874203
138,0.938195,0.974465,0.027338,0.025535,0.887866
139,1.0,0.915685,0.0,0.084315,0.901333
140,1.0,0.867776,0.015294,0.132224,0.91461
