t,date,O,R,I,demand,S
0,2019-12-31,1.0,1.0,0.4450201440112705,0.0,0.0
1,2020-01-01,1.0,1.0,0.4450201440112705,0.0,0.0
2,2020-01-02,1.0,1.0,0.4450201440112705,0.0,0.0
3,2020-01-03,1.0,1.0,0.4450201440112705,0.0,0.0
4,2020-01-04,1.0,1.0,0.4450201440112705,0.0,0.0
5,2020-01-05,1.0,1.0,0.4450201440112705,0.0,0.0
6,2020-01-06,1.0,1.0,0.4450201440112705,0.0,0.0
7,2020-01-07,1.0,1.0,0.4450201440112705,0.0,0.0
8,2020-01-08,1.0,1.0,0.4450201440112705,0.0,0.0
9,2020-01-09,1.0,1.0,0.4450201440112705,0.0,0.0
10,2020-01-10,1.0,1.0,0.4450201440112705,0.0,0.0
11,2020-01-11,1.0,1.0,0.4450201440112705,0.0,0.0
12,2020-01-12,1.0,1.0,0.4450201440112705,0.0,0.0
13,2020-01-13,1.0,1.0,0.4450201440112705,0.0,0.0
14,2020-01-14,1.0,1.0,0.4450201440112705,0.0,0.0
15,2020-01-15,1.0,1.0,0.4450201440112705,0.0,0.0
16,2020-01-16,1.0,1.0,0.4450201440112705,0.0,0.0
17,2020-01-17,1.0,1.0,0.4450201440112705,0.0,0.0
18,2020-01-18,1.0,1.0,0.4450201440112705,0.0,0.0
19,2020-01-19,1.0,1.0,0.4450201440112705,0.0,0.0
20,2020-01-20,1.0,1.0,0.4450201440112705,0.0,0.0
21,2020-01-21,1.0,1.0,0.4450201440112705,0.0,0.0
22,2020-01-22,1.0,1.0,0.4450201440112705,0.0,0.0
23,2020-01-23,1.0,1.0,0.4450201440112705,0.0,0.0
24,2020-01-24,1.0,1.0,0.4450201440112705,0.0,0.0
25,2020-01-25,1.0,1.0,0.4450201440112705,0.0,0.0
26,2020-01-26,1.0,1.0,0.4450201440112705,0.0,0.0
27,2020-01-27,1.0,1.0,0.4450201440112705,0.0,0.0
28,2020-01-28,1.0,1.0,0.4450201440112705,0.0,0.0
29,2020-01-29,1.0,1.0,0.4450201440112705,0.0,0.0
30,2020-01-30,1.0,1.0,0.4450201440112705,0.0,0.0
31,2020-01-31,1.0,1.0,0.4450201440112705,0.0,0.0
32,2020-02-01,1.0,1.0,0.4450201440112705,0.0,0.0
33,2020-02-02,1.0,1.0,0.4450201440112705,0.0,0.0
34,2020-02-03,1.0,1.0,0.4450201440112705,0.0,0.0
35,2020-02-04,1.0,0.9999374765537076,0.4450201440112705,4.803627699640325e-06,1.1988070431352353e-07
36,2020-02-05,1.0,1.0,0.4450201440112705,4.803627699640325e-06,2.3976140862704705e-07
37,2020-02-06,1.0,1.0,0.4450201440112705,4.803627699640325e-06,3.596421129405706e-07
38,2020-02-07,1.0,1.0,0.4450201440112705,4.803627699640325e-06,4.795228172540941e-07
39,2020-02-08,1.0,1.0,0.4450201440112705,4.803627699640325e-06,5.994035215676176e-07
40,2020-02-09,1.0,1.0,0.4450201440112705,4.803627699640325e-06,7.192842258811412e-07
41,2020-02-10,1.0,1.0,0.4450201440112705,4.803627699640325e-06,8.391649301946647e-07
42,2020-02-11,1.0,1.0,0.4450201440112705,4.803627699640325e-06,9.590456345081882e-07
43,2020-02-12,1.0,1.0,0.4450201440112705,4.803627699640325e-06,1.0789263388217115e-06
44,2020-02-13,1.0,1.0,0.4450201440112705,4.803627699640325e-06,1.1988070431352353e-06
45,2020-02-14,1.0,1.0,0.4450201440112705,4.803627699640325e-06,1.3186877474487588e-06
46,2020-02-15,1.0,1.0,0.4450201440112705,4.803627699640325e-06,1.4385684517622823e-06
47,2020-02-16,1.0,1.0,0.4450201440112705,4.803627699640325e-06,1.5584491560758058e-06
48,2020-02-17,1.0,1.0,0.4450201440112705,4.803627699640325e-06,1.6783298603893294e-06
49,2020-02-18,1.0,0.9999374765537076,0.4450201440112705,0.0,1.6783298603893294e-06
50,2020-02-19,1.0,1.0,0.4450201440112705,0.0,1.6783298603893294e-06
51,2020-02-20,1.0,1.0,0.4450201440112705,0.0,1.6783298603893294e-06
52,2020-02-21,1.0,1.0,0.4450201440112705,0.0,1.6783298603893294e-06
53,2020-02-22,1.0,1.0,0.4450201440112705,0.0,1.6783298603893294e-06
54,2020-02-23,1.0,1.0,0.4450201440112705,0.0,1.6783298603893294e-06
55,2020-02-24,1.0,1.0,0.4450201440112705,0.0,1.6783298603893294e-06
56,2020-02-25,1.0,1.0,0.4450201440112705,0.0,1.6783298603893294e-06
