t,Ma,O,R,I,demand,S
0,541.0,0.0,1.0,0.268742,0.0,0.0
1,536.0045871559633,0.0,1.0,0.932912110091743,0.0,0.0
2,531.0908256880734,0.0004229541284403669,1.0,0.9985180275229357,0.0,2.2045871559633024e-05
3,526.11376146789,0.019301155963302754,1.0,0.8137750825688074,0.0,0.0014714678899082569
4,521.1183486238532,0.04157728440366972,1.0,0.6192522752293578,0.0,0.0036709357798165136
5,516.1770642201835,0.057909623853211,1.0,0.39642089908256883,0.0,0.006232908256880733
6,511.22752293577986,0.07036002752293577,1.0,0.25460257798165137,0.0,0.009080981651376146
7,506.2321100917431,0.08258188990825688,1.0,0.230903376146789,0.0,0.012210752293577981
8,501.26330275229355,0.09546704587155963,1.0,0.22541387155963302,0.0,0.015639247706422017
9,496.34128440366976,0.1103863119266055,1.0,0.2447439266055046,0.0,0.019412853211009173
10,491.354128440367,0.12709336697247706,1.0,0.256008376146789,0.0,0.023571678899082567
11,486.44954128440367,0.14338840366972475,1.0,0.2311085137614679,0.0,0.028111146788990824
12,481.4550458715596,0.18432909174311923,1.0,0.5094925779816514,0.0,0.03369534862385321
13,476.4596330275229,0.2331659633027523,1.0,0.5494073394495412,0.0,0.040425330275229356
14,471.53577981651375,0.2826013394495413,1.0,0.4857214403669725,0.0,0.048294027522935774
15,466.56880733944956,0.3319412018348623,1.0,0.42057459633027533,0.0,0.05730075229357797
16,461.57339449541286,0.38128081651376144,1.0,0.37174337614678904,0.0,0.06744463302752293
17,456.62201834862384,0.4308397981651376,1.0,0.33428909174311927,0.0,0.07873126605504588
18,451.68256880733946,0.4573501100917431,0.9710792110091744,0.2051639449541287,0.028920788990825626,0.09056907339449541
19,446.68715596330276,0.41460832110091755,0.6906879174311935,0.0,0.30931208256880655,0.10133911926605503
20,441.708256880734,0.30033276146788984,0.07115846788990834,0.0,0.9288415321100917,0.10949832110091744
21,436.79633027522937,0.23174818348623855,0.2811741651376145,0.0,0.7188258348623855,0.11608691743119265
22,431.80091743119266,0.2068519541284404,0.6726964587155958,0.0,0.32730354128440425,0.12208777064220183
23,426.80550458715595,0.21566277981651377,0.9648373577981653,0.08837500917431196,0.03516264220183474,0.12832800917431195
24,421.88990825688074,0.23829601834862385,1.0,0.21715788073394496,0.0,0.13512391743119265
25,416.91467889908256,0.2630917339449541,1.0,0.2363238165137615,0.0,0.14249240366972477
26,411.9192660550459,0.2879879633027523,1.0,0.22140835779816515,0.0,0.1504348990825688
27,406.97614678899083,0.312623247706422,1.0,0.2052221467889908,0.0,0.15894460550458717
28,402.02844036697246,0.3372814220183486,1.0,0.19258416513761467,0.0,0.1680233119266055
29,397.0669724770642,0.36200860550458713,1.0,0.1825445137614679,0.0,0.17767195412844033
30,392.13761467889907,0.3865758807339449,1.0,0.17130376146788992,0.0,0.1878875321100917
31,387.1422018348624,0.41147211009174306,1.0,0.1648994770642202,0.0,0.1986764587155963
32,382.1532110091743,0.43163139449541277,0.9783190091743114,0.14722717431192633,0.021680990825688636,0.20991788990825688
33,377.24862385321103,0.38953368807339445,0.6716878532110089,0.00433021100917419,0.3283121467889911,0.2201557614678899
34,372.2559633027523,0.2925688990825688,0.19673787155963302,0.0,0.8032621284403669,0.22794078899082568
35,367.2605504587156,0.23910973394495416,0.4021017798165135,0.0,0.5978982201834865,0.2346100642201835
36,362.3348623853211,0.20951366972477067,0.6184326330275226,0.0,0.3815673669724774,0.24064046788990825
37,357.3697247706422,0.2064958348623853,0.8742328899082561,0.049480018348623665,0.12576711009174388,0.24665706422018346
38,352.3743119266055,0.21675117431192656,1.0,0.10459633944954114,0.0,0.2529169082568807
39,347.4211009174312,0.22918326605504583,1.0,0.1259317981651376,0.0,0.25946393577981647
40,342.4834862385321,0.24169318348623853,1.0,0.12236730275229357,0.0,0.26629898165137617
41,337.4880733944954,0.2539146880733945,1.0,0.11496463302752294,0.0,0.2734159633027523
42,332.5073394495413,0.2662094403669724,1.0,0.11156691743119267,0.0,0.2808170733944954
43,327.597247706422,0.2788566972477064,1.0,0.11101921100917432,0.0,0.2885090183486238
44,322.6018348623853,0.2910782018348623,1.0,0.10381219266055047,0.0,0.2964953211009174
45,317.6064220183486,0.30330057798165133,1.0,0.10042957798165138,0.0,0.3047823119266055
46,312.68899082568805,0.31591055963302755,1.0,0.10018299082568807,0.0,0.31336113761467893
47,307.7155963302752,0.3282424036697248,1.0,0.09556998165137613,0.0,0.32222333027522937
48,302.7798165137615,0.3404642201834862,1.0,0.09172264220183486,0.0,0.33136722018348624
49,297.8247706422019,0.3589728807339449,1.0,0.13020952293577973,0.0,0.34095427522935784
50,292.8293577981652,0.3831284678899082,1.0,0.1691278348623853,0.0,0.3510995871559633
51,287.8660550458716,0.40786446788990816,1.0,0.16519420183486241,0.0,0.3618145596330275
52,282.9385321100917,0.43173614678899075,1.0,0.1519322293577982,0.0,0.3730788348623853
53,277.943119266055,0.45240774311926607,1.0,0.12633006422018342,0.0,0.3848155779816514
54,272.95229357798166,0.464629247706422,1.0,0.07108729357798166,0.0,0.39683401834862386
55,268.04770642201834,0.47685075229357804,1.0,0.06954870642201834,0.0,0.4091499816513762
56,263.056880733945,0.4890722568807339,1.0,0.06807738532110093,0.0,0.4217643302752293
57,258.06146788990833,0.343824587155965,0.22935779816514634,0.015563073394496009,0.7706422018348537,0.430621486238532
