geo,year,O,R,I,S,O_raw,R_raw,I_raw,S_raw
DE,1990,,0.06759899193216894,,,,5.855071922202427,,
DE,1991,0.24904499531766724,0.07281874293050218,,0.4604071397836221,76.9,6.171700597410915,,1.71
DE,1992,0.2241443587012903,0.07660553424448747,,0.2784381294940117,75.1,6.388561405545629,,1.61
DE,1993,0.15830454705003122,0.08116998709756257,,0.16980116730534162,69.5,6.637258031284457,,1.53
DE,1994,0.18094775333056393,0.08556293398879924,,0.0978052707977566,71.6,6.86484777797086,,1.45
DE,1995,0.18903589626467673,0.08954535702339919,,0.0978052707977566,72.3,7.062191632286556,,1.45
DE,1996,0.1902137014489959,0.09426757817576417,,0.0978052707977566,72.4,7.286191714702382,,1.45
DE,1997,0.21624843547136693,0.09909322390691606,,0.14858521468133312,74.5,7.504942068396171,,1.51
DE,1998,0.25337013774577244,0.10330988617408199,,0.1933584968533041,77.2,7.688455356549944,,1.55
DE,1999,0.2666402230050765,0.10770559296344973,,0.4020912084428438,78.1,7.872836175025724,,1.68
DE,2000,0.3374920150822581,0.11301765281226495,,0.5198275605613307,82.5,8.087025470667701,,1.74
DE,2001,0.34092801115731686,0.11934190914482358,,0.5,82.7,8.330863613224743,,1.73
DE,2002,0.3256022702970186,0.12257034069069585,,0.5,81.8,8.451053388911692,,1.73
DE,2003,0.33407309522406137,0.4404024691080555,,0.5786922900035307,82.3,15.293825740330043,,1.77
DE,2004,0.37796296882096475,0.44818248283653317,,0.5395928602163779,84.8,15.418554349910774,,1.75
DE,2005,0.4314523532095378,0.4587197324705902,,0.5198275605613307,87.7,15.58685128225465,,1.74
DE,2006,0.5268006257803497,0.48146382064001847,,0.5979087915571563,92.7,15.948305339037343,,1.78
DE,2007,0.6310040797937446,0.5,,0.5786922900035307,98.3,16.241915395368206,,1.77
DE,2008,0.6310040797937446,0.526070962097472,,0.7372209546519669,98.3,16.655060615108926,,1.86
DE,2009,0.3323701240477293,0.544650432524782,,0.8066415031466959,82.2,16.950735052434904,,1.91
DE,2010,0.5,0.5602771059856517,,0.7939630691313135,91.3,17.200921343958946,,1.9
DE,2011,0.6220370311790353,0.5757120412831528,,,97.8,17.44992220567609,,
DE,2012,0.6166160077358754,0.5900716787345905,0.4932253958192605,,97.5,17.683715807264292,21.28,
DE,2013,0.6184263136466371,0.6017311248779612,,,97.6,17.87537575207244,,
DE,2014,0.6416458440403178,0.6113814954770328,0.6413310711854405,,98.9,18.035441618101256,22.29,
DE,2015,0.6556191950036502,0.6200182550608232,0.5067746041807389,,99.7,18.17992465650058,21.37,
DE,2016,0.6710226741729717,0.6279546817096049,0.632977709132019,,100.6,18.313815308871142,22.23,
DE,2017,0.721199393772159,0.6354465465005912,0.1939946958662842,,103.7,18.44127727308389,18.96,
DE,2018,0.7363465814874641,0.6424532573605937,0.3169475250187273,,104.7,18.561498688300254,20.05,
DE,2019,0.6827560904768717,0.6488276980850447,0.20261025687701054,,101.3,18.67178146068303,19.05,
DE,2020,0.5057482475234365,0.6625079849177418,0.24099420680201392,,91.6,18.911647220175375,19.42,
DE,2021,0.5853827369351335,0.6701142072139832,,,95.8,19.047058842450348,,
DE,2022,0.5797911357223853,0.68243178749526,0.632977709132019,,95.5,19.26977687906821,22.23,
DE,2023,0.5496561158266482,0.6864178062924979,,,93.9,19.342824606611032,,
DE,2024,,0.6922175923585396,0.7159405681551503,,,19.450020255227805,22.86,
