t,O,R,I,S,demand,date,close
0,0.0,1.0,0.19924710460014686,0.0,0.0,1960-01,55.61
1,0.0,1.0,0.19924710460014686,0.0,1.0,1960-02,56.12
2,0.3333333333333333,0.9929467937178995,0.19924710460014686,0.0,1.0,1960-03,55.34
3,0.25,0.9751725724346992,0.19924710460014686,0.0,1.0,1960-04,54.37
4,0.4,0.9784411205095964,0.19924710460014686,0.0,1.0,1960-05,55.83
5,0.5,0.9829264273569007,0.19924710460014686,0.0,1.0,1960-06,56.92
6,0.42857142857142855,0.9766539321874426,0.19924710460014686,0.0,0.12932975349875128,1960-07,55.51
7,0.5,0.98024131086319,0.19924710460014686,0.0,0.15769894621418812,1960-08,56.96
8,0.4444444444444444,0.9650623282889301,0.19924710460014686,0.0,0.297499936238331,1960-09,53.52
9,0.4,0.9523079816421148,0.19924710460014686,0.0,0.29167089539061386,1960-10,53.39
10,0.45454545454545453,0.9510613851753211,0.19924710460014686,0.0,0.3209674015134465,1960-11,55.54
11,0.5,0.9555856832101629,0.19924710460014686,0.0,0.36855728725845477,1960-12,58.11
12,0.5833333333333334,0.9555856832101629,0.19924710460014686,0.0,0.4035317405798051,1961-01,61.78
13,0.5833333333333334,0.9555856832101629,0.19924710460014686,0.0,0.40384846617720216,1961-02,63.44
14,0.6666666666666666,0.9586872251790435,0.19924710460014686,0.0,0.13203310323305145,1961-03,65.06
15,0.75,0.9656458129297371,0.19924710460014686,0.0,0.1089347033835775,1961-04,65.31
16,0.75,0.9667989503284234,0.19924710460014686,0.0008860003676259426,0.11536546771724385,1961-05,66.56
17,0.75,0.9603618743190275,0.19924710460014686,0.0005044089452593018,0.22747237463313477,1961-06,64.64
18,0.8333333333333334,0.9658897076875882,0.19924710460014686,0.00853965079010962,0.1459702136164888,1961-07,66.76
19,0.8333333333333334,0.9658897076875882,0.19924710460014686,0.013187019866429188,0.13808346534192179,1961-08,68.07
20,0.9166666666666666,0.9749736978313089,0.19924710460014686,0.012743923346568542,0.1624100963528318,1961-09,66.73
21,1.0,0.9889598728123626,0.19924710460014686,0.019585934088339516,0.18417131824329708,1961-10,68.62
22,1.0,0.9945230012361992,0.19924710460014686,0.02917431576859232,0.2160197161803542,1961-11,71.32
23,1.0,0.9945230012361992,0.19924710460014686,0.02949085728802076,0.13359693402146558,1961-12,71.55
24,1.0,0.9860709839872356,0.4830405570382746,0.028966241581052148,0.22575111323307814,1962-01,68.84
25,1.0,0.9811120513577698,0.4708509760243637,0.03265258163998981,0.22234372357654372,1962-02,69.96
26,1.0,0.9748744002515236,0.46104542964566286,0.03211215731126136,0.20073933526844062,1962-03,69.55
27,0.9166666666666666,0.9551946110113168,0.48496279557577804,0.031574435104176554,0.3160808503940055,1962-04,65.24
28,0.8333333333333334,0.9180182104180894,0.012360612349734505,0.031039401508127173,0.3662404973183646,1962-05,59.63
29,0.75,0.8720590171350171,0.1533007711890186,0.03050704308005803,0.38526190311388436,1962-06,54.75
30,0.6666666666666666,0.8305162607674174,0.24554559219519953,0.04604628386937163,0.6007604409253946,1962-07,58.23
31,0.5833333333333334,0.7917492591420972,0.22107277971591355,0.049394262916496554,0.5991367725057738,1962-08,59.12
32,0.5,0.7484864890382028,0.24319976121837253,0.04877013018138557,0.5923447566359185,1962-09,56.27
33,0.4166666666666667,0.7016105409747626,0.25476145431779573,0.04930507651199827,0.5919295815788931,1962-10,56.52
34,0.4166666666666667,0.672636651586249,0.04412685583902979,0.07390336301955827,0.6725605360034245,1962-11,62.26
35,0.4166666666666667,0.6462825756623587,0.014810879272712196,0.07665129615185494,0.4696320081754981,1962-12,63.1
36,0.4166666666666667,0.6380488762021137,0.020330144253870936,0.0883968799999487,0.44862483084669114,1963-01,66.2
37,0.4166666666666667,0.6203651353159059,0.01349745606268603,0.08757773417942044,0.49966951369465396,1963-02,64.29
38,0.4166666666666667,0.611071035167599,0.09536730277531162,0.09585017449731632,0.38255978495242915,1963-03,66.57
39,0.5,0.6252928796898403,0.011929076770623591,0.10734859858423924,0.3689780458384664,1963-04,69.8
40,0.5833333333333334,0.6601301611182253,0.012897554070984493,0.11014401232685522,0.22006427069072879,1963-05,70.8
41,0.6666666666666666,0.7057273907048851,0.03164392200016168,0.10921613084469244,0.2759277502349163,1963-06,69.37
42,0.75,0.739722589233927,0.0,0.10829288876994046,0.23547105034487373,1963-07,69.13
43,0.8333333333333334,0.7784895908592472,0.047493613048018454,0.11978588976436687,0.20786436243434123,1963-08,72.5
44,0.9166666666666666,0.8236828787639228,0.003451720349695344,0.11880979889501651,0.22411806014175698,1963-09,71.7
45,1.0,0.870558826827363,0.11128442623375784,0.12610717151861628,0.18642054746936643,1963-10,74.01
46,1.0,0.8971808916611634,0.10098520237906694,0.1250994742404947,0.1992295586677021,1963-11,73.23
47,1.0,0.9235349675850536,0.12547102980533603,0.13039407389750762,0.1692105181417881,1963-12,75.02
48,1.0,0.9402206842942622,0.14238315826164538,0.1362933590455964,0.15757535268706985,1964-01,77.04
49,1.0,0.9628633578099359,0.1701930187518415,0.13779453062511907,0.10017867757020087,1964-02,77.8
50,1.0,0.978395109064489,0.16895010117018083,0.14065368549264393,0.05718400086938202,1964-03,78.98
51,1.0,0.9838530537824545,0.003817823995903613,0.14115322918912107,0.03665664511549491,1964-04,79.46
52,1.0,0.9861921729472968,0.20118332847747417,0.1430396412106539,0.0,1964-05,80.37
53,1.0,0.9929912126531051,0.3428211729729043,0.14619523537456772,0.0,1964-06,81.69
54,1.0,1.0,0.5421004779518979,0.1498004352624848,0.0,1964-07,83.18
55,1.0,0.9969170446291885,0.5984006390304208,0.1486742716656439,0.02846523697804102,1964-08,81.83
56,1.0,0.999379411176234,0.4261852656128113,0.15493677013931909,0.05556068397872628,1964-09,84.18
57,1.0,0.999379411176234,0.38114917565769835,0.15588286868728765,0.05440324871077189,1964-10,84.86
58,1.0,1.0,0.5289088597092125,0.15472629292332274,0.07047706596080752,1964-11,84.42
59,1.0,1.0,0.5387445324980507,0.154592833253497,0.06519467548090241,1964-12,84.75
60,1.0,1.0,0.5779480783473198,0.1619483364408553,0.10047033949239643,1965-01,87.56
61,1.0,0.9999536161966247,0.3513532547598891,0.16076143333812248,0.06273386238084495,1965-02,87.43
62,1.0,0.9963856313216002,0.41303898287256563,0.1595804647509034,0.066623791151447,1965-03,86.16
63,1.0,0.9963856313216002,0.4869537097406686,0.16718404682276786,0.11585078871038962,1965-04,89.11
64,1.0,0.9946577123658676,0.43776783677859193,0.16597096516812548,0.12012190540605602,1965-05,88.42
