t,O,R,I,demand,cases,deaths,popData2019
2020-01-13,0.7251248268826801,-0.0,0.0,1.06498885,0,0,11455519.0
2020-01-14,0.36256241344134005,0.36256241344134005,0.0,0.0,0,0,11455519.0
2020-01-15,0.24170827562756003,0.12085413781378002,0.12085413781378002,0.0,0,0,11455519.0
2020-01-16,0.18128120672067002,0.06042706890689001,0.06042706890689001,0.0,0,0,11455519.0
2020-01-17,0.14502496537653603,0.036256241344133994,0.06042706890689001,0.0,0,0,11455519.0
2020-01-18,0.12085413781378002,0.024170827562756014,0.036256241344133994,0.0,0,0,11455519.0
2020-01-19,0.10358926098324002,0.017264876830539996,0.024170827562756014,0.0,0,0,11455519.0
2020-01-20,0.0,0.10358926098324002,0.039709216710242,0.0,0,0,11455519.0
2020-01-21,0.0,-0.0,0.036256241344133994,0.0,0,0,11455519.0
2020-01-22,0.0,-0.0,0.030213534453445004,0.0,0,0,11455519.0
2020-01-23,0.0,-0.0,0.024170827562756014,0.0,0,0,11455519.0
2020-01-24,0.0,-0.0,0.020717852196648005,0.0,0,0,11455519.0
2020-01-25,0.0,-0.0,0.017264876830539996,0.0,0,0,11455519.0
2020-01-26,0.0,-0.0,0.008632438415269998,0.0,0,0,11455519.0
2020-01-27,0.0,-0.0,0.008632438415269998,0.0,0,0,11455519.0
2020-01-28,0.0,-0.0,0.0,0.0,0,0,11455519.0
2020-01-29,0.0,-0.0,0.0,0.0,0,0,11455519.0
2020-01-30,0.0,-0.0,0.0,0.0,0,0,11455519.0
2020-01-31,0.0,-0.0,0.0,0.0,0,0,11455519.0
2020-02-01,0.0,-0.0,0.0,0.0,0,0,11455519.0
2020-02-02,0.0,-0.0,0.0,0.0,0,0,11455519.0
2020-02-03,0.0,-0.0,0.0,0.0,0,0,11455519.0
2020-02-04,0.0,-0.0,0.0,0.0,1,0,11455519.0
2020-02-05,0.0012416484152742125,-0.0012416484152742125,0.0,0.00872942,0,0,11455519.0
2020-02-06,0.002483296830548425,-0.0012416484152742125,0.0,0.00872942,0,0,11455519.0
2020-02-07,0.0037249452458226373,-0.0012416484152742123,0.0,0.00872942,0,0,11455519.0
2020-02-08,0.00496659366109685,-0.0012416484152742127,0.0,0.00872942,0,0,11455519.0
2020-02-09,0.006208242076371063,-0.0012416484152742132,0.0,0.00872942,0,0,11455519.0
2020-02-10,0.007449890491645275,-0.0012416484152742114,0.0,0.00872942,0,0,11455519.0
