date,O,R,I,demand,S,inflation_yoy_pct
1948-01-01,0.5,0.5,0.5,10.24209,0.9739424585730841,10.24209
1948-02-01,0.5,0.5,0.5,9.48196,0.9623476355560528,9.48196
1948-03-01,0.5,0.5,0.5,6.81818,0.8709168795715924,6.81818
1948-04-01,0.5,0.5,0.5,8.27273,0.9331656150300809,8.27273
1948-05-01,0.5,0.0,0.5,9.38497,0.9605504930022897,9.38497
1948-06-01,0.7408235104270988,0.0,0.9152277226880435,9.375,0.96036116089903,9.375
1948-07-01,0.7568345135018725,0.0,0.8614364379029292,9.76158,0.9670987512973306,9.76158
1948-08-01,0.77900911265217,0.0,1.0,9.0625,0.9539660976007597,9.0625
1948-09-01,0.7238282587082538,0.0,0.5770115921954603,6.65499,0.8614630395345778,6.65499
1948-10-01,0.6732344276579416,0.0,0.5213780260495566,6.11087,0.8256973289964338,6.11087
1948-11-01,0.588733854397197,0.0,0.32038383145013494,4.77016,0.7078738147777572,4.77016
1948-12-01,0.45123295233861094,0.0,0.0022958146625128265,2.73387,0.4667827484113216,2.73387
1949-01-01,0.31840092534896264,0.0,0.0,1.39358,0.30933928781191755,1.39358
1949-02-01,0.2256030519789073,0.0,0.0,1.01394,0.2703140115145204,1.01394
1949-03-01,0.18688860676516125,0.0,0.058260797886951377,1.74468,0.3480413148553366,1.74468
1949-04-01,0.1290480026871143,0.0,0.0,0.41982,0.21583757777834386,0.41982
1949-05-01,0.06927193517878742,0.0,0.0,0.0,0.1533914859086338,-0.41649
1949-06-01,0.015458171879524942,0.0,0.0,0.0,0.12172557242637029,-0.95238
1949-07-01,0.0,0.0,0.0,0.0,0.05047781318256094,-2.86885
1949-08-01,0.0,0.0,0.0,0.0,0.047694717988455905,-2.98813
1949-09-01,0.0,0.0,0.0,0.0,0.059970696356862745,-2.50411
1949-10-01,0.0,0.0,0.0,0.0,0.05644808611574608,-2.63266
1949-11-01,0.0,0.01959337415558389,0.0,0.0,0.07929351110031055,-1.90397
1949-12-01,0.0,0.22756906331304771,0.0,0.0,0.0820540751894626,-1.82952
1950-01-01,0.0,0.34283854800521263,0.01004468737943033,0.0,0.07301753714877367,-2.08247
1950-02-01,0.0,0.2953331113614279,0.26630210788027836,0.0,0.10646635209221973,-1.25471
1950-03-01,0.0,0.35949704196710763,0.3580681240287218,0.0,0.11258392599640096,-1.12923
1950-04-01,0.0,0.49989632170615544,0.43688716966744606,0.0,0.1126074066986581,-1.12876
1950-05-01,0.0,0.5309658864913925,0.6295477975630261,0.0,0.14273406085152066,-0.58553
1950-06-01,0.0790192218430375,0.5434306040683278,0.7935173573442574,0.0,0.17028482542462045,-0.16722
1950-07-01,0.21016964894484863,0.5633680035809507,0.800119796488656,1.56118,0.3275229181832534,1.56118
1950-08-01,0.3468588823973348,0.5178640456567827,0.6316651534402234,2.1097,0.39051451384615726,2.1097
1950-09-01,0.4277798960614309,0.5294732582937123,0.5214763994452907,2.48421,0.43588123404541784,2.48421
1950-10-01,0.4892128901868515,0.4347221107933812,0.294212083863705,3.50655,0.5629824251776429,3.50655
1950-11-01,0.5115651387871063,0.4811303384992404,0.22760178958523497,3.79747,0.5983836923623232,3.79747
1950-12-01,0.44468986997446164,0.27645475699758526,0.0,5.80263,0.8023924762818487,5.80263
1951-01-01,0.31650733458460956,0.07519589472968263,0.0,7.95406,0.9225157672239266,7.95406
1951-02-01,0.17323637982314635,0.009365478664661102,0.0,9.4028,0.9608869277027555,9.4028
1951-03-01,0.05777409483927105,0.014963894511215882,0.0,9.47547,0.9622298775005046,9.47547
1951-04-01,0.0,0.0019913865175982632,0.0,9.59831,0.9643998108799187,9.59831
1951-05-01,0.0,0.03214290015284174,0.0,9.3395,0.9596799120942984,9.3395
1951-06-01,0.0,0.0,0.0,8.58459,0.9422580375000918,8.58459
1951-07-01,0.0,0.08001513321452233,0.0,7.64437,0.9106978003896012,7.64437
1951-08-01,0.0,0.05495954553542176,0.2367497282673591,6.8595,0.8732217460780557,6.8595
1951-09-01,0.0,0.0857778653754528,0.29901779339262374,6.9433,0.8777882290311472,6.9433
1951-10-01,0.0,0.17636915985895343,0.41151859014344133,6.77551,0.8684993451241437,6.77551
1951-11-01,0.0,0.18427330463303307,0.44252781376298406,6.99187,0.8803696179593242,6.99187
1951-12-01,0.010734350355652848,0.28795795910911115,0.7142076170349496,5.96477,0.8149325506250862,5.96477
1952-01-01,0.07640003818982985,0.330635676426024,0.8912464860483782,4.21592,0.6474753101780594,4.21592
1952-02-01,0.12340590352491942,0.2753268050072927,0.46593780141924984,2.24545,0.4067843016914084,2.24545
1952-03-01,0.16929188304601803,0.25389677729698945,0.3847509446542299,1.97063,0.3740958959770541,1.97063
1952-04-01,0.2203388099857564,0.2549717240245802,0.3805030863020055,2.08333,0.38738088238733576,2.08333
1952-05-01,0.2608509348897297,0.25733999916209294,0.312612464120255,1.84686,0.3597222179145327,1.84686
1952-06-01,0.30111947273392714,0.28785512889947,0.3857000117867205,2.31392,0.4150712142377656,2.31392
1952-07-01,0.3187075810585211,0.31778296032611203,0.5061060169114484,2.97183,0.49647880821309653,2.97183
1952-08-01,0.3311925024011616,0.3757823788795824,0.5446778837347043,3.20959,0.5261748000961244,3.20959
1952-09-01,0.3289376184395636,0.2887731800494637,0.36439147011218925,2.30503,0.4139924345969148,2.30503
1952-10-01,0.312947409824596,0.27697950909833224,0.32071127080105793,2.02599,0.38059936648091,2.02599
1952-11-01,0.2870500358752101,0.2341671584141573,0.21609659054959574,1.40578,0.31064405705852466,1.40578
1952-12-01,0.2526710278153019,0.29014177593242196,0.15679270642159904,0.90669,0.2598679497771802,0.90669
1953-01-01,0.23587700564577027,0.4555712008244735,0.1795297892360884,0.71834,0.24216800459110716,0.71834
1953-02-01,0.2484703210853701,0.6605626936918311,0.2451666491211223,0.68156,0.23880904411145848,0.68156
1953-03-01,0.2774054015988531,0.6655388277542679,0.3626917908590316,0.90944,0.2601324999079538,0.90944
1953-04-01,0.32198102696152203,0.6732245908460165,0.4277069087766454,0.86924,0.2562826728276928,0.86924
1953-05-01,0.3763410469041338,0.6982579163147825,0.4985701693211463,0.86891,0.2562512247847636,0.86891
1953-06-01,0.428858591859235,0.7439834362370435,0.5700597773291225,0.90464,0.25967085329343154,0.90464
