normalize,smooth,demand_to_cap_ratio,detector_fired,crossing_rate,max_run
robust_minmax,none,0.85,True,0.4,41
robust_minmax,none,0.9,True,0.413333,41
robust_minmax,none,0.95,True,0.44,41
robust_minmax,ma3,0.85,True,0.413333,44
robust_minmax,ma3,0.9,True,0.42,44
robust_minmax,ma3,0.95,True,0.426667,44
robust_minmax,ma5,0.85,True,0.4,45
robust_minmax,ma5,0.9,True,0.42,59
robust_minmax,ma5,0.95,True,0.42,59
zscore,none,0.85,True,0.393333,44
zscore,none,0.9,True,0.393333,44
zscore,none,0.95,True,0.446667,44
zscore,ma3,0.85,True,0.393333,44
zscore,ma3,0.9,True,0.4,44
zscore,ma3,0.95,True,0.426667,60
zscore,ma5,0.85,True,0.406667,59
zscore,ma5,0.9,True,0.413333,59
zscore,ma5,0.95,True,0.42,59
minmax,none,0.85,True,0.393333,44
minmax,none,0.9,True,0.393333,44
minmax,none,0.95,True,0.446667,44
minmax,ma3,0.85,True,0.393333,44
minmax,ma3,0.9,True,0.4,44
minmax,ma3,0.95,True,0.426667,60
minmax,ma5,0.85,True,0.406667,59
minmax,ma5,0.9,True,0.413333,59
minmax,ma5,0.95,True,0.42,59
